Client,Q1,Q2,Q3
User_1,Недоволен(а),Средне,8
User_2,Очень удовлетворен(а),Довольно быстро,5
User_3,Очень удовлетворен(а),Медленно,9
User_4,Удовлетворен(а),Средне,9
User_5,Нейтрален(на),Довольно быстро,5
User_6,Удовлетворен(а),Довольно быстро,5
User_7,Нейтрален(на),Средне,8
User_8,Удовлетворен(а),Довольно быстро,6
User_9,Нейтрален(на),Средне,8
User_10,Недоволен(а),Средне,9
User_11,Удовлетворен(а),Очень быстро,5
User_12,Удовлетворен(а),Медленно,5
User_13,Недоволен(а),Медленно,4
User_14,Удовлетворен(а),Очень быстро,4
User_15,Нейтрален(на),Медленно,4
User_16,Недоволен(а),Довольно быстро,5
User_17,Очень удовлетворен(а),Очень быстро,7
User_18,Нейтрален(на),Довольно быстро,3
User_19,Нейтрален(на),Средне,7
User_20,Удовлетворен(а),Довольно быстро,8
User_21,Нейтрален(на),Средне,4
User_22,Нейтрален(на),Довольно быстро,1
User_23,Нейтрален(на),Средне,9
User_24,Удовлетворен(а),Довольно быстро,6
User_25,Нейтрален(на),Медленно,7
User_26,Очень удовлетворен(а),Довольно быстро,8
User_27,Недоволен(а),Средне,6
User_28,Недоволен(а),Средне,7
User_29,Нейтрален(на),Медленно,3
User_30,Недоволен(а),Средне,6
